Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGpct,Threes,ThreesA,Threepct,Twos,TwosA,Twopct,eFGpct,FT,FTA,FTpct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlayerID
190,Quentin Grimes,SG,23,NYK,39,18,19.7,2.4,6,39.1%,1.8,4.7,37.9%,0.6,1.4,0.434,53.8%,0.4,0.5,71.4%,0.3,1.4,1.7,1.1,0.7,0.1,0.5,1.5,6.9,grimequ01
191,Mouhamed Gueye,PF,21,ATL,2,0,2,0,0.5,0.0%,0,0.5,0.0%,0,0,0,0.0%,0,0,0.0%,0,0,0,0,0.5,0,0,0.5,0,gueyemo02
192,Rui Hachimura,PF,25,LAL,28,5,23.1,4.5,9.2,48.6%,1.1,3,36.5%,3.4,6.1,0.547,54.7%,1.6,2.1,75.9%,0.8,2.8,3.6,1,0.8,0.3,0.8,1.4,11.6,hachiru01
193,Tyrese Haliburton,PG,23,IND,33,33,33.4,8.4,16.9,49.7%,3.4,8.4,40.3%,5,8.5,0.591,59.7%,3.4,3.9,86.8%,0.6,3.6,4.2,12.5,1.1,0.7,2.6,1.1,23.6,halibty01
194,R.J. Hampton,PG,22,MIA,8,2,9.5,0.5,1.8,28.6%,0.1,1,12.5%,0.4,0.8,0.5,32.1%,0.1,0.3,50.0%,0.3,0.5,0.8,1,0,0,0.4,1,1.3,hamptrj01
195,Tim Hardaway Jr.,SF,31,DAL,39,8,29.6,6.2,14.7,41.8%,3.2,8.9,36.2%,2.9,5.8,0.504,52.8%,2.6,2.9,87.7%,0.4,3.3,3.6,1.7,0.4,0,1,1.5,18.1,hardati02
196,James Harden,PG,34,LAC,35,35,34,5,11.1,45.2%,2.7,6.5,41.9%,2.3,4.6,0.5,57.5%,4.2,4.8,87.4%,0.3,4.3,4.6,8.4,1.2,0.9,2.7,2.1,16.9,hardeja01
197,Jaden Hardy,SG,21,DAL,37,4,15.8,2.9,7.5,38.0%,1.3,3.9,34.3%,1.5,3.7,0.419,46.8%,0.8,1.1,68.3%,0.3,1.8,2.1,1.6,0.3,0.1,0.8,1.2,7.8,hardyja02
198,Ron Harper Jr.,PF,23,TOR,1,0,4,0,0,0.0%,0,0,0.0%,0,0,0,0.0%,0,0,0.0%,0,0,0,1,0,0,0,2,0,harpero02
199,Gary Harris,SG,29,ORL,27,6,22.8,2.4,5.7,42.9%,1.3,4,33.3%,1.1,1.7,0.652,54.5%,0.9,1.1,77.4%,0.5,1.2,1.7,1.9,0.9,0.2,0.5,1.7,7.1,harriga01
